country,year,y,internet_users_pct,gdp_per_capita_growth_pct
Argentina,2020,49.602,85.51438646,-10.3361096878518
Argentina,2021,55.085,87.15070683,10.1485599877349
Argentina,2022,57.3,88.37535691,5.79747980169367
Argentina,2023,58.463,89.22897166,-2.13703473540124
Argentina,2024,57.439,89.66715228,-1.68352700528746
Colombia,2020,53.279,69.79533474,-8.50949477621059
Colombia,2021,55.389,73.02837449,9.5929782838861
Colombia,2022,56.498,72.79637855,6.18779953705864
Colombia,2023,57.623,77.33686322,-0.282233597731121
Colombia,2024,57.418,79.34543299,0.408620603822158
Ecuador,2020,56.361,70.7,-10.3108339169142
Ecuador,2021,62.728,69.1147995,8.57789544186942
Ecuador,2022,63.388,69.71811356,5.0282959697896
Ecuador,2023,62.225,72.6943146,0.948258262430642
Ecuador,2024,62.311,77.17273115,-2.7842885423931
Venezuela,2020,44.55,72.44110107,-28.6057438496512
Venezuela,2021,45.195,74.11219788,1.3599718379524
Venezuela,2022,48.01,75.82180023,8.16956905683747
Venezuela,2023,48.589,76.33190155,3.70013368160016
Venezuela,2024,49.28,76.67890167,5.13594862074156
